id,verse_id,recording_id,start,end
57,40026058,JH,685.430,701.570
58,40026059,JH,701.570,712.570
59,40026060,JH,712.570,721.860
60,40026061,JH,721.860,733.120
61,40026062,JH,733.120,743.040
62,40026063,JH,743.040,759.800
63,40026064,JH,759.800,778.810
64,40026065,JH,778.810,795.270
65,40026066,JH,795.270,803.160
66,40026067,JH,803.160,811.630
67,40026068,JH,811.630,818.430
68,40026069,JH,818.430,832.350
69,40026070,JH,832.350,840.080
70,40026071,JH,840.080,850.660
71,40026072,JH,850.660,857.550
72,40026073,JH,857.550,871.010
73,40026074,JH,871.010,883.510
74,40026075,JH,883.510,899.338
0,40027001,JH,4.132,17.020
1,40027002,JH,17.020,24.690
2,40027003,JH,24.690,39.750
3,40027004,JH,39.750,50.610
4,40027005,JH,50.610,59.761
5,40027006,JH,59.761,72.870
6,40027007,JH,72.870,84.260
7,40027008,JH,84.260,92.800
8,40027009,JH,92.800,111.620
9,40027010,JH,111.620,120.070
10,40027011,JH,120.070,138.160
11,40027012,JH,138.160,147.733
12,40027013,JH,147.733,155.170
13,40027014,JH,155.170,164.320
14,40027015,JH,164.320,173.780
15,40027016,JH,173.780,180.070
16,40027017,JH,180.070,193.260
17,40027018,JH,193.260,197.710
18,40027019,JH,197.710,216.660
19,40027020,JH,216.660,229.300
20,40027021,JH,229.300,241.480
21,40027022,JH,241.480,253.100
22,40027023,JH,253.100,265.020
23,40027024,JH,265.020,287.990
24,40027025,JH,287.990,298.000
25,40027026,JH,298.000,309.070
26,40027027,JH,309.070,321.310
27,40027028,JH,321.310,327.870
28,40027029,JH,327.870,349.650
29,40027030,JH,349.650,358.860
30,40027031,JH,358.860,374.030
31,40027032,JH,374.030,386.630
32,40027033,JH,386.630,394.550
33,40027034,JH,394.550,404.480
34,40027035,JH,404.480,412.760
35,40027036,JH,412.760,416.910
36,40027037,JH,416.910,431.060
37,40027038,JH,431.060,440.830
38,40027039,JH,440.830,448.070
39,40027040,JH,448.070,463.520
40,40027041,JH,463.520,471.150
41,40027042,JH,471.150,484.180
42,40027043,JH,484.180,494.230
43,40027044,JH,494.230,503.640
44,40027045,JH,503.640,514.070
45,40027046,JH,514.070,533.170
46,40027047,JH,533.170,541.630
47,40027048,JH,541.630,553.220
48,40027049,JH,553.220,561.160
49,40027050,JH,561.160,569.340
50,40027051,JH,569.340,583.600
51,40027052,JH,583.600,592.260
52,40027053,JH,592.260,607.980
53,40027054,JH,607.980,627.290
54,40027055,JH,627.290,640.800
55,40027056,JH,640.800,652.590
56,40027057,JH,652.590,665.450
57,40027058,JH,665.450,676.550
58,40027059,JH,676.550,683.750
59,40027060,JH,683.750,699.760
60,40027061,JH,699.760,709.070
61,40027062,JH,709.070,720.240
62,40027063,JH,720.240,732.030
63,40027064,JH,732.030,753.620
64,40027065,JH,753.620,762.200
65,40027066,JH,762.200,771.628
0,40028001,JH,4.391,18.510
1,40028002,JH,18.510,35.010
2,40028003,JH,35.010,45.200
3,40028004,JH,45.200,54.690
4,40028005,JH,54.690,68.510
5,40028006,JH,68.510,78.050
6,40028007,JH,78.050,96.800
7,40028008,JH,96.800,108.193
8,40028009,JH,108.193,122.150
9,40028010,JH,122.150,137.180
10,40028011,JH,137.180,150.065
11,40028012,JH,150.065,160.220
12,40028013,JH,160.220,170.850
13,40028014,JH,170.850,180.280
14,40028015,JH,180.280,194.080
15,40028016,JH,194.080,204.660
16,40028017,JH,204.660,211.350
17,40028018,JH,211.350,223.147
18,40028019,JH,223.147,236.960
19,40028020,JH,236.960,253.527
